COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Netherlands,NLD,EURO,REPORTING,6/13/2021,12875172,8287281,74,48.395,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/6/2021,4
New Caledonia,NCL,WPRO,REPORTING,5/5/2021,97974,53344,34.317,18.685,Pfizer BioNTech - Comirnaty,1/20/2021,1
New Zealand,NZL,WPRO,REPORTING,6/14/2021,817786,523590,16.959,10.858,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/19/2021,4
Nicaragua,NIC,AMRO,REPORTING,6/18/2021,167500,167500,2.528,2.528,"Gamaleya - Sputnik V,SII - Covishield",3/2/2021,2
Niger,NER,AFRO,REPORTING,6/20/2021,186207,172812,0.769,0.714,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/29/2021,2
Nigeria,NGA,AFRO,REPORTING,6/20/2021,2909674,2020546,1.412,0.98,SII - Covishield,3/5/2021,1
North Macedonia,MKD,EURO,REPORTING,6/6/2021,389646,246660,18.7,11.839,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2/17/2021,5
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,6/14/2021,52038,27527,90.411,47.826,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/19/2020,3
Norway,NOR,EURO,REPORTING,5/30/2021,2475700,1594096,46.1,29.699,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3/31/2021,4
occupied Palestinian territory,PSE,EMRO,REPORTING,6/22/2021,779713,479200,15.284,9.393,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/2/2021,5
